SOURCELONG:Fiend Folio	SOURCESHORT:FFo	SOURCEWEB:http://www.gozzilioni.net																																																																										
																																																																												
# Race Name	Output Name	Favored Class	Starting Feats	Size	Move	FACE:	REACH:	Vision		Required AL	Automatic Languages	Bonus Languages	Combat bonus		Bonus to skill				Stat bonus								Racial Class Skills	Automaticaly Gained Shield Prof.		Automaticaly Gained Weapon Prof.		Virtual Feat		Feat		Nb Legs	Nb Hands	Weapon prof. bonus			Natural Attacks		ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|			ABILITY:Special Ability|AUTOMATIC|	ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	Spell Res.	Damage Reduction		MONSTERCLASS:	Main Race Type	Race Subtype	Type	Template			Hit Dice	Hit Dice Advancement	Level Adjustment	CR	Source Page	Innate Spells												
Giant (Bog)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Ranger	STARTFEATS:1	SIZE:L	MOVE:Walk,30,Swim,40	FACE:10	REACH:10	VISION:Darkvision (60')|Low-Light			AUTO:LANG|Common	LANGBONUS:Draconic,Giant	BONUS:COMBAT|AC|7|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|14		BONUS:STAT|CON|8	BONUS:STAT|INT|-4		BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Spot|Swim			AUTO:WEAPONPROF|Longspear	AUTO:EQUIP|Longspear	AUTO:FEAT|Martial Weapon Proficiency(Longspear)				LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Rock Throwing	ABILITY:Special Ability|AUTOMATIC|Rock Catching			ABILITY:Special Ability|AUTOMATIC|Bog Giant Skills					MONSTERCLASS:Giant:8	RACETYPE:Giant	RACESUBTYPE:Aquatic	TYPE:Giant							CR:6	SOURCEPAGE:FFo													
Giant (Shadow)	OUTPUTNAME:[NAME] Giant	FAVCLASS:Rogue	STARTFEATS:1	SIZE:H	MOVE:Walk,50	FACE:15	REACH:15	VISION:Blindsight (60')|Low-Light					BONUS:COMBAT|AC|17|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Hide|4|TYPE=Racial				BONUS:STAT|STR|26	BONUS:STAT|DEX|6	BONUS:STAT|CON|16		BONUS:STAT|WIS|4	BONUS:STAT|CHA|8			MONCSKILL:Diplomacy|Hide|Jump|Listen|Move Silently|Sense Motive|Spot			AUTO:WEAPONPROF|Morningstar|Longbow	AUTO:EQUIP|Morningstar|Longbow (Composite)					LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Death Attack|Rock Throwing|Sneak Attack	ABILITY:Special Ability|AUTOMATIC|Hide in Plain Sight (Su)|Light Sensitivity|Rock Catching			ABILITY:Special Ability|AUTOMATIC|Shadow Giant Skills					MONSTERCLASS:Giant:18	RACETYPE:Giant		TYPE:Giant							CR:18	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Blur,12+CHA|Deeper Darkness|Shades,19+CHA|Shadow Evocation,15+CHA|Shadow Walk,15+CHA	BONUS:VAR|DeathAttack|HD/2	BONUS:VAR|SneakAttackDice|4										
Golem (Blood)	OUTPUTNAME:[NAME] Golem			SIZE:L	MOVE:Walk,20	FACE:10	REACH:10			PREALIGN:LE			BONUS:COMBAT|AC|9|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|-2				BONUS:STAT|CHA|-10					AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy	AUTO:WEAPONPROF|Flail (Heavy)	AUTO:EQUIP|Full Plate|Flail (Heavy)|Flail (Heavy)					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d8		ABILITY:Special Ability|AUTOMATIC|Blood Siphon|Whirlwind of Death	ABILITY:Special Ability|AUTOMATIC|Blood Dependency|Blood Reservoir|Vulnerability To Rust						DR:10/Adamantine		MONSTERCLASS:Construct (Mindless):10	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:20,30		CR:8	SOURCEPAGE:FFo													
Golem (Brain)	OUTPUTNAME:[NAME] Golem		STARTFEATS:1	SIZE:L	MOVE:Walk,20	FACE:10	REACH:10			PREALIGN:LE	AUTO:LANG|Telepathy		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12			BONUS:STAT|INT|-4		BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Mind Blast (Sp)	ABILITY:Special Ability|AUTOMATIC|Inertial Armor (Sp)					SR:25	DR:10/Adamantine		MONSTERCLASS:Construct:12	RACETYPE:Construct		TYPE:Construct					HITDICEADVANCEMENT:18,36		CR:10	SOURCEPAGE:FFo													
Golem (Demonflesh)	OUTPUTNAME:[NAME] Golem		STARTFEATS:1	SIZE:H	MOVE:Walk,50,Fly,100	FACE:15	REACH:15			PREALIGN:CE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|26|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|-2		BONUS:STAT|INT|-2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Climb|Jump				AUTO:EQUIP|Undead Graft (Demon Claw)|Undead Graft (Whip Tail)|Undead Graft (Fast Leg)					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6		ABILITY:Special Ability|AUTOMATIC|Fear Gaze (Su)	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Immunity To Electricity|Resistance to Fire|Immunity To Magic|See Invisibility				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability		DR:15/Adamantine and Good		MONSTERCLASS:Construct:24	RACETYPE:Construct	RACESUBTYPE:Extraplanar	TYPE:Construct					HITDICEADVANCEMENT:36,72		CR:18	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=3|CASTERLEVEL=11|Darkness|Poison,10+CHA|Unholy Aura,18+CHA	DEFINE:Maneuverability|3	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:FireResistanceBonus|20	SPELLS:Innate|TIMES=1|CASTERLEVEL=11|Destruction,17+CHA|Horrid Wilting,18+CHA|Unholy Blight,14+CHA							
Golem (Hellfire)	OUTPUTNAME:[NAME] Golem		STARTFEATS:1	SIZE:L	MOVE:Walk,40	FACE:10	REACH:10			PREALIGN:LE	AUTO:LANG|Infernal		BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|14	BONUS:STAT|DEX|4		BONUS:STAT|INT|2	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Climb|Jump|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning.Hellfire,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Hellfire	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Resistance To Cold|Immunity To Fire|Immunity To Magic						DR:15/Adamantine and Good		MONSTERCLASS:Construct:20	RACETYPE:Construct	RACESUBTYPE:Extraplanar	TYPE:Construct					HITDICEADVANCEMENT:30,60		CR:17	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Burning Hands,11+CHA|Fireball,13+CHA|Flare,10+CHA|Produce Flame	DEFINE:AcidResistanceBonus|20	DEFINE:ColdResistanceBonus|20	DEFINE:Hellfire|2	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Flame Strike,14								
Hullathoin			STARTFEATS:1	SIZE:H	MOVE:Walk,60	FACE:15	REACH:10	VISION:Blindsight (60')		PREALIGN:NE	AUTO:LANG|Common|Draconic		BONUS:COMBAT|AC|20|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|20	BONUS:STAT|DEX|-2		BONUS:STAT|INT|2	BONUS:STAT|WIS|6	BONUS:STAT|CHA|2			MONCSKILL:Balance|Climb|Listen|Spot|Swim			AUTO:WEAPONPROF|Hullathoin Tentacle	AUTO:EQUIP|Hullathoin Tentacle|Hullathoin Tentacle					LEGS:4	HANDS:4				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,2d8|Stamp,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,1d8		ABILITY:Special Ability|AUTOMATIC|Deform|Exude Bloodfiend Locustus|Improved Grab|Improved Grapple|Poison|Basic Turning|Rebuke Undead|Ring of Pus	ABILITY:Special Ability|AUTOMATIC|Immunity To Cold|Immunity To Electricity|Fast Healing|Resistance To Fire|Scent|Resistance To Sonic					SR:26	DR:15/Magic and Silver		MONSTERCLASS:Undead:16	RACETYPE:Undead		TYPE:Undead					HITDICEADVANCEMENT:32,48		CR:15	SOURCEPAGE:FFo		DEFINE:RingOfPusPerDay|1	DEFINE:FastHealing|8	DEFINE:FireResistanceBonus|15	DEFINE:SonicResistanceBonus|15								
#Devil (Imp)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0	VISION:Darkvision (60')		KIT:1|LE	AUTO:LANG|Celestial|Draconic|Infernal		BONUS:COMBAT|AC|5|TYPE=NaturalArmor							BONUS:STAT|DEX|6			BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Diplomacy|Hide|Listen|Move Silently|Search|Spellcraft|Spot|Survival|TYPE=Knowledge			AUTO:WEAPONPROF|TYPE=Martial|TYPE=Simple						LEGS:2		BONUS:WEAPONPROF=Sting|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Sting,Weapon.Natural.Melee.Finesseable.Piercing.Poison,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Alternate Form|Fast Healing|Flight Maneuverability|Poison|Resistance To Fire							DR:5/Good or Silver		MONSTERCLASS:Outsider:3	RACETYPE:Outsider	RACESUBTYPE:Extraplanar|Evil|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:MonstersD-De.rtf	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Good,11+CHA|Detect Magic,10+CHA|Invisibility (Self Only),12+CHA	DEFINE:FireResistanceBonus|5	DEFINE:Maneuverability|5	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Suggestion,13+CHA									
Devil (Imp).MOD																																					HANDS:2																	RACESUBTYPE:Imp																						
Devil (Bloodbag Imp)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,40	FACE:2.5	REACH:0	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Common|Infernal		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Heal|8|TYPE=Racial					BONUS:STAT|DEX|-2	BONUS:STAT|CON|8		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Climb|Concentration|Diplomacy|Heal|Listen|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison|Wounding Curse	ABILITY:Special Ability|AUTOMATIC|Transfusion				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:6	DR:5/Silver or Good		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Imp|Extraplanar|Evil|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:12		CR:3	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Good,11+CHA|Detect Magic,10+CHA|Invisibility (Self Only),12+CHA	DEFINE:Maneuverability|4	DEFINE:WoundingCursePerDay|3	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Vampiric Touch,13+CHA	DEFINE:FastHealing|4								
Devil (Euphoric Imp)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Celestial|Common|Infernal		BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Craft (Alchemy)|8|TYPE=Racial					BONUS:STAT|DEX|4		BONUS:STAT|INT|6	BONUS:STAT|WIS|-4				MONCSKILL:Balance|Bluff|Craft (Alchemy)|Escape Artist|Hide|Intimidate|Jump|TYPE.Knowledge|Listen|Open Lock|Tumble|Use Rope									LEGS:2	HANDS:2	BONUS:WEAPONPROF=Sting|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Sting,Weapon.Natural.Melee.Finesseable.Piercing.Poison,*1,1d4		ABILITY:Special Ability|AUTOMATIC|Hallucinogen	ABILITY:Special Ability|AUTOMATIC|Resistance To Fire				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:6	DR:5/Silver or Good		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Imp|Extraplanar|Evil|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:12		CR:3	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Good,11+CHA|Detect Magic,10+CHA|Invisibility (Self Only),12+CHA	DEFINE:Maneuverability|5	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Major Image,13+CHA	DEFINE:FireResistanceBonus|20	DEFINE:FastHealing|3								
Devil (Filth Imp)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:T	MOVE:Walk,20,Fly,50	FACE:2.5	REACH:0	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Abyssal|Common|Draconic|Infernal	LANGBONUS:ALL	BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE								BONUS:STAT|CON|6	BONUS:STAT|INT|6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|-6			MONCSKILL:Balance|Climb|Decipher Script|Diplomacy|Escape Artist|Hide|Forgery|Listen|Move Silently|Search|Sense Motive|Spot|Survival									LEGS:2	HANDS:2				NATURALATTACKS:Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing.Disease,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Diabolical Stench|Disease	ABILITY:Special Ability|AUTOMATIC|Resistance To Sonic				ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:6	DR:5/Silver or Good		MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Imp|Extraplanar|Evil|Lawful	TYPE:Outsider					HITDICEADVANCEMENT:6		CR:2	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Good,11+CHA|Detect Magic,10+CHA|Invisibility (Self Only),12+CHA	DEFINE:Maneuverability|5	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Stinking Cloud,13+CHA	DEFINE:DiabolicalStench|3	DEFINE:FastHealing|3	DEFINE:SonicResistanceBonus|20							
Indricothere			STARTFEATS:1	SIZE:H	MOVE:Walk,40	FACE:15	REACH:10	VISION:Darkvision (60')|Low-Light		PREALIGN:TN			BONUS:COMBAT|AC|11|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|22		BONUS:STAT|CON|14	BONUS:STAT|INT|-8	BONUS:STAT|WIS|4	BONUS:STAT|CHA|-2			MONCSKILL:Listen|Spot									LEGS:4	HANDS:0	BONUS:WEAPONPROF=Head butt|DAMAGE|max(0,(STR/2))			NATURALATTACKS:Head butt,Weapon.Natural.Melee.Finesseable.Bludgeoning,*1,2d6|Stamp,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d6		ABILITY:Special Ability|AUTOMATIC|Knock Back|Trample	ABILITY:Special Ability|AUTOMATIC|Scent								MONSTERCLASS:Animal:16	RACETYPE:Animal		TYPE:Animal					HITDICEADVANCEMENT:16,31,48		CR:9	SOURCEPAGE:FFo													
Inevitable (Quarut)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:M	MOVE:Walk,50	FACE:5	REACH:5			PREALIGN:LN			BONUS:COMBAT|AC|13|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|10	BONUS:STAT|DEX|2		BONUS:STAT|INT|4	BONUS:STAT|WIS|6	BONUS:STAT|CHA|10			MONCSKILL:Knowledge (Arcana)|Listen|Spellcraft|Spot									LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,3d6								SR:28	DR:15/Chaotic and Adamantine		MONSTERCLASS:Construct:18	RACETYPE:Construct	RACESUBTYPE:Inevitable|Extraplanar|Lawful	TYPE:Construct					HITDICEADVANCEMENT:24,54		CR:17	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Inflict Light Wounds (Mass),15+CHA|Dimension Door,14+CHA|Dominate Person,15+CHA|Dispel Magic (Greater),16+CHA|Haste,13+CHA|Hold Monster,15+CHA|Locate Creature,14+CHA|True Seeing,16+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Temporal Stasis,18+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Circle of Death,16+CHA|Forcecage|Limited Wish,17+CHA|Mark of Justice|Teleport (Greater),17+CHA|Time Stop	SPELLS:Innate|TIMES=1|TIMEUNIT=Week|CASTERLEVEL=18|Plane Shift,17+CHA	DEFINE:FastHealing|15								
Inevitable (Varakhut)	OUTPUTNAME:[NAME]		STARTFEATS:1	SIZE:L	MOVE:Walk,50,Fly,50	FACE:10	REACH:10			PREALIGN:LN			BONUS:COMBAT|AC|16|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|12	BONUS:STAT|DEX|4		BONUS:STAT|INT|8	BONUS:STAT|WIS|8	BONUS:STAT|CHA|12			MONCSKILL:Decipher Script|Knowledge (Arcana)|Knowledge (History)|Knowledge (Religion)|Knowledge (The Planes)|Spellcraft|Survival		AUTO:ARMORPROF|ARMORTYPE=Light|ARMORTYPE=Medium|ARMORTYPE=Heavy		AUTO:EQUIP|Full Plate					LEGS:1	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,2d10		ABILITY:Special Ability|AUTOMATIC|Dispelling Blast					ABILITY:Special Ability|AUTOMATIC|Flight Maneuverability	SR:30	DR:20/Chaotic and Adamantine		MONSTERCLASS:Construct:22	RACETYPE:Construct	RACESUBTYPE:Inevitable|Extraplanar|Lawful	TYPE:Construct					HITDICEADVANCEMENT:33,66		CR:19	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=19|Inflict Light Wounds (Mass),15+CHA|Circle of Death,16+CHA|Dimension Door,14+CHA|Dominate Monster,19+CHA|Haste,13+CHA|Hold Monster,15+CHA|Locate Creature,14+CHA|True Seeing,16+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=18|Forcecage|Limited Wish,17+CHA|Mark of Justice|Teleport (Greater),17+CHA|Time Stop	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Geas/Quest,16+CHA|Meteor Swarm,19+CHA|Plane Shift,17+CHA|Soul Bind,19+CHA|Wish,19+CHA	DEFINE:FastHealing|20	DEFINE:Maneuverability|5	DEFINE:DispellingBlastPerDay|3							
Iron cobra				SIZE:M	MOVE:Walk,30	FACE:5	REACH:5			PREALIGN:TN			BONUS:COMBAT|AC|3|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6				BONUS:STAT|CHA|-10			MONCSKILL:Hide|Move Silently									LEGS:0	HANDS:0				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing.Poison,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Poison	ABILITY:Special Ability|AUTOMATIC|Stalk Victim|Stealth						DR:5/Adamantine		MONSTERCLASS:Construct (Mindless):2	RACETYPE:Construct		TYPE:Construct	TEMPLATE:Mindless				HITDICEADVANCEMENT:3		CR:2	SOURCEPAGE:FFo		DEFINE:StealthBonus|10											
Ironmaw			STARTFEATS:1	SIZE:H	MOVE:Walk,10	FACE:15	REACH:15			PREALIGN:NE	AUTO:LANG|Abyssal		BONUS:COMBAT|AC|18|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Listen,Spot|15|TYPE=Racial				BONUS:STAT|STR|20	BONUS:STAT|DEX|-2	BONUS:STAT|CON|12	BONUS:STAT|INT|-6	BONUS:STAT|WIS|2	BONUS:STAT|CHA|4			MONCSKILL:Hide|Listen|Spot			AUTO:WEAPONPROF|Ironmaw Tendril	AUTO:EQUIP|Ironmaw Tendril|Ironmaw Tendril|Ironmaw Tendril|Ironmaw Tendril					LEGS:0	HANDS:4						ABILITY:Special Ability|AUTOMATIC|Attach|Engulf|Illness|Wounding	ABILITY:Special Ability|AUTOMATIC|Resistance To Acid|Immunity To Cold|Immunity To Electricity|Resistance To Sonic			ABILITY:Special Ability|AUTOMATIC|Ironmaw Skills		SR:30	DR:15/Magic and Slashing		MONSTERCLASS:Plant:12	RACETYPE:Plant		TYPE:Plant					HITDICEADVANCEMENT:16,36		CR:13	SOURCEPAGE:FFo		DEFINE:AcidResistanceBonus|10	DEFINE:SonicResistanceBonus|10										
Jackal Lord		FAVCLASS:Cleric	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')		PREALIGN:LE	AUTO:LANG|Common|Infernal		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|4	BONUS:STAT|CON|4	BONUS:STAT|INT|2	BONUS:STAT|WIS|8	BONUS:STAT|CHA|6			MONCSKILL:Bluff|Diplomacy|Disguise|Intimidate|Knowledge (Religion)|Listen|Move Silently|Sense Motive|Spot		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Scimitar	AUTO:EQUIP|Chain Shirt|Scimitar					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d10|Claw,Weapon.Natural.Melee.Finesseable.Piercing.Slashing,*2,1d4		ABILITY:Special Ability|AUTOMATIC|Alternate Form|Curse of the Jackal|Dominate Animal (Sp/at will/WIS)|Summon Jackals ~ Jackal Lord							DR:10/Magic		MONSTERCLASS:Jackal Lord:8	RACETYPE:Monstrous Humanoid		TYPE:Monstrous Humanoid						LEVELADJUSTMENT:4	CR:8	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Cat's Grace|Disguise Self|Detect Magic|Detect Good|Suggestion,13+CHA	DEFINE:CurseOfTheJackalPerDay|1	DEFINE:DominateAnimalLVL|16	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Shadow Walk,16+CHA									
Dog.COPY=Jackal																																																																												
Jackal.MOD	OUTPUTNAME:Jackal																																																														SOURCEPAGE:FFo, See Dog													
Jackalwere			STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5	VISION:Darkvision (60')|Low-Light			AUTO:LANG|Common		BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE						BONUS:STAT|STR|2	BONUS:STAT|DEX|6	BONUS:STAT|CON|4		BONUS:STAT|WIS|2	BONUS:STAT|CHA|2			MONCSKILL:Bluff|Disguise|Listen|Sense Motive|Spot			AUTO:WEAPONPROF|Scimitar	AUTO:EQUIP|Scimitar					LEGS:2	HANDS:2						ABILITY:Special Ability|AUTOMATIC|Sleep Gaze	ABILITY:Special Ability|AUTOMATIC|Alternate Form						DR:5/Cold Iron		MONSTERCLASS:Magical Beast:4	RACETYPE:Magical Beast	RACESUBTYPE:Shapechanger	TYPE:Magical Beast							CR:2	SOURCEPAGE:FFo													
Kaorti		FAVCLASS:Sorcerer	STARTFEATS:1	SIZE:M	MOVE:Walk,30	FACE:5	REACH:5				AUTO:LANG|Kaorti	LANGBONUS:Common,Sylvan	BONUS:COMBAT|AC|2|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Heal|8|TYPE=Racial				BONUS:STAT|STR|-4	BONUS:STAT|DEX|4		BONUS:STAT|INT|4		BONUS:STAT|CHA|6			MONCSKILL:Concentration|TYPE.Craft|Heal|Intimidate|Knowledge (Arcana)|Knowledge (The Planes)|Spellcraft|Survival|Use Magic Device		AUTO:ARMORPROF|ARMORTYPE=Light	AUTO:WEAPONPROF|Dagger	AUTO:EQUIP|Ribbon Dagger|Resin Suit					LEGS:2	HANDS:2				NATURALATTACKS:Bite,Weapon.Natural.Finesseable.Melee.Piercing.Slashing,*1,1d6		ABILITY:Special Ability|AUTOMATIC|Vile Transformation	ABILITY:Special Ability|AUTOMATIC|Vulnerability To Material Plane|Immunity To Poison								MONSTERCLASS:Outsider:2	RACETYPE:Outsider	RACESUBTYPE:Kaorti|Extraplanar|Evil	TYPE:Outsider						LEVELADJUSTMENT:2	CR:1	SOURCEPAGE:FFo	SPELLS:Innate|TIMES=1|CASTERLEVEL=2|Disguise Self|Color Spray|Feather Fall|Ray of Enfeeblement|Reduce Person|Spider Climb												
Keeper		FAVCLASS:Rogue	STARTFEATS:1	SIZE:M	MOVE:Walk,40,Climb,20	FACE:5	REACH:5	VISION:Blindsight (200')		PREALIGN:TN	AUTO:LANG|Common|Celestial|Infernal		BONUS:COMBAT|AC|4|TYPE=NaturalArmor.REPLACE		BONUS:SKILL|Climb,Jump,Escape Artist|8|TYPE=Racial				BONUS:STAT|STR|8	BONUS:STAT|DEX|6	BONUS:STAT|CON|4	BONUS:STAT|INT|4	BONUS:STAT|WIS|-2	BONUS:STAT|CHA|-4			MONCSKILL:Climb|Escape Artist|Hide|Listen|Jump|TYPE.Knowledge|Move Silently|Open Lock|Spot		AUTO:ARMORPROF|ARMORTYPE=Light		AUTO:EQUIP|Leather 					LEGS:2	HANDS:2				NATURALATTACKS:Slam,Weapon.Natural.Melee.Finesseable.Bludgeoning,*2,1d3		ABILITY:Special Ability|AUTOMATIC|Mimic Weapon|Poison Spit	ABILITY:Special Ability|AUTOMATIC|Body Switch|Dissolution|Hive Mind|Resistance To Acid|Resistance To Cold|Resistance To Fire|Resistance To Electricity|Resistance To Sonic|Scent	ABILITY:Special Ability|AUTOMATIC|Immunity To Mind-Affecting|Immunity To Poison|Immunity To Sleep|Immunity To Paralysis|Immunity To Stunning|Immunity To Disease|Immunity To Death Effects|Immunity To Necromantic Effetcs|Spell Immunities|Immunity To Critical Hits|Immunity To Sneak Attack|Immunity To Non-lethal Damage|Immunity to Ability Damage|Immunity to Ability Drain		ABILITY:Special Ability|AUTOMATIC|Keeper Skills			DR:10/Magic		MONSTERCLASS:Outsider:4	RACETYPE:Outsider	RACESUBTYPE:Extraplanar	TYPE:Outsider						LEVELADJUSTMENT:3	CR:7	SOURCEPAGE:FFo		DEFINE:AcidResistanceBonus|10	DEFINE:ColdResistanceBonus|10	DEFINE:FireResistanceBonus|10	DEFINE:ElectricityResistanceBonus|10	DEFINE:SonicResistanceBonus|10							
