SOURCELONG:Magic of Faerun	SOURCESHORT:MoF	SOURCEWEB:http://www.gozzilioni.net																										
###Block: AB																												
# Spell Name	OUTPUTNAME:	Spell Variations	TYPE:	CLASSES:	DOMAINS:	SCHOOL:	SUBSCHOOL:	DESCRIPTOR:	COMPS:	CASTTIME:	RANGE:	TARGETAREA:		DURATION:	SAVEINFO:	SPELLRES:	DESC:	SOURCEPAGE:	Item	COST:	XPCOST:	PPCOST	Combat bonus	Bonus to HP	Stat bonus	Choose		
Wall of Chaos			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Chaotic	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Wall whose area is up to one 10-ft square/level or a sphere or hemisphere with a radius of up to 5 ft/2 caster level.		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:As Magic Circle against Law, except as one-sided wall.	SOURCEPAGE:MoF										
Wall of Evil			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Evil	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Wall whose area is up to one 10-ft square/level or a sphere or hemisphere with a radius of up to 5 ft/2 caster level.		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:As Magic Circle against Good, except as one-sided wall.	SOURCEPAGE:MoF										
Wall of Good			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Good	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Wall whose area is up to one 10-ft square/level or a sphere or hemisphere with a radius of up to 5 ft/2 caster level.		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:As Magic Circle against Evil, except as one-sided wall.	SOURCEPAGE:MoF										
Wall of Law			TYPE:Arcane.Divine	CLASSES:Cleric=4|Sorcerer,Wizard=4		SCHOOL:Abjuration		DESCRIPTOR:Lawful	COMPS:V, S, M/DF	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:Wall whose area is up to one 10-ft square/level or a sphere or hemisphere with a radius of up to 5 ft/2 caster level.		DURATION:(CASTERLEVEL*10) minutes	SAVEINFO:Will negates (harmless); See text	SPELLRES:Yes	DESC:As Magic Circle against Chaos, except as one-sided wall.	SOURCEPAGE:MoF										
War Cry			TYPE:Arcane	CLASSES:Bard=4		SCHOOL:Enchantment	SUBSCHOOL:Compulsion	DESCRIPTOR:Mind-Affecting|Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You.		DURATION:1 round/level	SAVEINFO:Will negates; See text	SPELLRES:Yes	DESC:You gain +2 morale bonus on attacks and damage, plus panic melee opponents.	SOURCEPAGE:MoF										
Warning Shout			TYPE:Divine			SCHOOL:Transmutation		DESCRIPTOR:Sonic	COMPS:V	CASTTIME:1 standard action	RANGE:See text	TARGETAREA:See text		DURATION:1 round	SAVEINFO:None	SPELLRES:No	DESC:All living creatures within half a mile hear your shout.	SOURCEPAGE:MoF										
Weapon of Impact			TYPE:Arcane.Divine	CLASSES:Bard=3|Cleric=3|Sorcerer,Wizard=3		SCHOOL:Transmutation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One weapon or fifty blunt projectiles, all of wich must be in contact with one another at the time of casting.		DURATION:10 minutes/level	SAVEINFO:Will negates (harmless,object)	SPELLRES:Yes	DESC:As Keen Edge, but aids blunt weapons.	SOURCEPAGE:MoF										
Weapon of the Deity			TYPE:Divine	CLASSES:Blackguard=4|Cleric=4|Paladin=4		SCHOOL:Transmutation			COMPS:V, DF	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:Your weapon.		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Gives your weapon magical powers appropriate to your patron.	SOURCEPAGE:MoF										
Wieldskill			TYPE:Divine			SCHOOL:Divination			COMPS:V, S	CASTTIME:1 standard action	RANGE:Touch	TARGETAREA:Creature touched.		DURATION:1 minute/level	SAVEINFO:None	SPELLRES:Yes	DESC:Target gains +10 to one skill, or can use it untrained, or gains a weapon or armor proficiency.	SOURCEPAGE:MoF										
Wind at Back			TYPE:Divine	CLASSES:Druid=4		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:Two creatures/level,no two of which can be more than 50-ft apart		DURATION:1 day	SAVEINFO:None (harmless)	SPELLRES:Yes	DESC:Doubles overland speed of targets for 1 day.	SOURCEPAGE:MoF										
Wind Tunnel			TYPE:Divine	CLASSES:Druid=5		SCHOOL:Evocation			COMPS:V, S	CASTTIME:1 standard action	RANGE:Close	TARGETAREA:One target/level		DURATION:1 round/level	SAVEINFO:Fort negates (harmless)	SPELLRES:Yes	DESC:Ranged weapons gain +10 bonus and double range increment.	SOURCEPAGE:MoF										
Wounding Whispers			TYPE:Arcane	CLASSES:Bard=3		SCHOOL:Abjuration		DESCRIPTOR:Sonic	COMPS:V, S	CASTTIME:1 standard action	RANGE:Personal	TARGETAREA:You		DURATION:1 round/level	SAVEINFO:None	SPELLRES:No	DESC:Sonic aura damages foes that strike you.	SOURCEPAGE:MoF										
Zajimarn's Avalanche			TYPE:Arcane	CLASSES:Sorcerer,Wizard=9		SCHOOL:Conjuration	SUBSCHOOL:Creation	DESCRIPTOR:Cold	COMPS:V, S	CASTTIME:1 standard action	RANGE:Long	TARGETAREA:One 10-ft square/level		DURATION:Instantaneous	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:Wave of slush deals 1d4 cold/level and moves targets.	SOURCEPAGE:MoF										
Zajimarn's Field of Icy Razors			TYPE:Arcane	CLASSES:Sorcerer,Wizard=8		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:One 10-ft square/level		DURATION:1 minute/level	SAVEINFO:Reflex partial	SPELLRES:Yes	DESC:Creatures in the area take normal and cold damage, may be Slowed.	SOURCEPAGE:MoF		COST:50								
Zajimarn's Ice Claw Prison			TYPE:Arcane	CLASSES:Sorcerer,Wizard=7		SCHOOL:Evocation		DESCRIPTOR:Cold	COMPS:V, S, F	CASTTIME:1 standard action	RANGE:Medium	TARGETAREA:10-ft ice claw		DURATION:1 round/level	SAVEINFO:None	SPELLRES:Yes	DESC:Ice claw grapples and deals normal and cold damage.	SOURCEPAGE:MoF										
#																												
# Divine Version																												
Forceward.COPY=Forceward	KEY:Forceward ~ Helm			CLASSES:Cleric=3																							PREDEITY:1,Helm	
Handfire.COPY=Handfire	KEY:Handfire ~ Selune			CLASSES:Cleric=1																							PREDEITY:1,Selune	
Holy Star.COPY=Holy Star	KEY:Holy Star ~ Mystra			CLASSES:Cleric=7																							PREDEITY:1,Mystra	
Know Greatest Enemy.COPY=Know Greatest Enemy	KEY:Know Greatest Enemy ~ Savras			CLASSES:Paladin=3																							PREDEITY:1,Savras	
Mace of Odo.COPY=Mace of Odo	KEY:Mace of Odo ~ Helm			CLASSES:Cleric=3																							PREDEITY:1,Helm	
Mystic Lash.COPY=Mystic Lash	KEY:Mystic Lash ~ Bane			CLASSES:Cleric=3																							PREDEITY:1,Bane	
Revenance.COPY=Revenance	KEY:Revenance ~ Jergal			CLASSES:Cleric=4																							PREDEITY:1,Jergal	
Rosemantle.COPY=Rosemantle	KEY:Rosemantle ~ Lathander			CLASSES:Cleric=1																							PREDEITY:1,Lathander	
Skull of Secrets.COPY=Skull of Secrets	KEY:Skull of Secrets ~ Cyric			CLASSES:Cleric=4																							PREDEITY:1,Cyric	
Spectral Stag.COPY=Spectral Stag	KEY:Spectral Stag ~ Malar			CLASSES:Cleric=2																							PREDEITY:1,Malar	
Spell Phylactery.COPY=Spell Phylactery	KEY:Spell Phylactery ~ Mystra			CLASSES:Cleric=6																							PREDEITY:1,Mystra	
Spell Shield.COPY=Spell Shield	KEY:Spell Shield ~ Mystra			CLASSES:Cleric=2																							PREDEITY:1,Mystra	
Spellmantle.COPY=Spellmantle	KEY:Spellmantle ~ Mystra			CLASSES:Cleric=6																							PREDEITY:1,Mystra	
Stone Walk.COPY=Stone Walk	KEY:Stone Walk ~ Bane			CLASSES:Cleric=6																							PREDEITY:1,Bane	
Stormrage.COPY=Stormrage	KEY:Stormrage ~ Talos			CLASSES:Cleric=8																							PREDEITY:1,Talos	
Strategic Charge.COPY=Strategic Charge	KEY:Strategic Charge ~ Red Knight			CLASSES:Paladin=1																							PREDEITY:1,Red Knight	
Undead Bane Weapon.COPY=Undead Bane Weapon	KEY:Undead Bane Weapon ~ Kelemvor			CLASSES:Paladin=3																							PREDEITY:1,Kelemvor	
Undeath after Death.COPY=Undeath after Death	KEY:Undeath after Death ~ Bane			CLASSES:Cleric=7																							PREDEITY:1,Bane	
Undeath's Eternal Foe.COPY=Undeath's Eternal Foe	KEY:Undeath's Eternal Foe ~ Lathander			CLASSES:Cleric=9																							PREDEITY:1,Lathander	
Understand Device.COPY=Understand Device	KEY:Understand Device ~ Gond			CLASSES:Cleric=3																							PREDEITY:1,Gond	
Warning Shout.Copy=Warning Shout	KEY:Warning Shout ~ Arvoreen			CLASSES:Paladin=1																							PREDEITY:1,Arvoreen	
Wieldskill.COPY=Wieldskill	KEY:Wieldskill ~ Gond			CLASSES:Cleric=1																							PREDEITY:1,Gond	
Azuth's Exalted Triad.COPY=Azuth's Exalted Triad	KEY:Azuth's Exalted Triad ~ Azuth			CLASSES:Cleric=6																							PREDEITY:1,Azuth	
Azuth's Spell Shield.COPY=Azuth's Spell Shield	KEY:Azuth's Spell Shield ~ Azuth			CLASSES:Cleric=7																							PREDEITY:1,Azuth	
Battletide.COPY=Battletide	KEY:Battletide ~ Bane			CLASSES:Cleric=5																							PREDEITY:1,Bane	
Battletide.COPY=Battletide	KEY:Battletide ~ Xvim			CLASSES:Cleric=5																							PREDEITY:1,Xvim	
Body Blades.COPY=Body Blades	KEY:Body Blades ~ Loviatar			CLASSES:Cleric=2																							PREDEITY:1,Loviatar	
Crawling Darkness.COPY=Crawling Darkness	KEY:Crowling Darkness ~ Shar			CLASSES:Cleric=5																							PREDEITY:1,Shar	
Curse of Ill Fortune.COPY=Curse of Ill Fortune	KEY:Curse of ll Fortune ~ Beshaba			CLASSES:Cleric=2																							PREDEITY:1,Beshaba	
Dark Way.COPY=Dark Way	KEY:Dark Way ~ Mask			CLASSES:Cleric=3																							PREDEITY:1,Mask	
Darkfire.COPY=Darkfire	KEY:Darkfire ~ Drow			CLASSES:Cleric=3																							PREDEITY:1,PANTHEON.Drow	
Deafening Clang.COPY=Deafening Clang	KEY:Deafening Clang ~ Gaerdal Ironhand			CLASSES:Paladin=1																							PREDEITY:1,Gaerdal Ironhand	
Death Pact.COPY=Death Pact	KEY:Death Pact ~ Velsharoon			CLASSES:Cleric=8																							PREDEITY:1,Velsharoon	
Death Symbol of Bane.COPY=Death Symbol of Bane	KEY:Death Symbol of Bane ~ Bane			CLASSES:Cleric=8																							PREDEITY:1,Bane	
Doomtide.COPY=Doomtide	KEY:Doomtide ~ Beshaba			CLASSES:Cleric=4																							PREDEITY:1,Beshaba	
Favor of Ilmater.COPY=Favor of Ilmater	KEY:Favor of Ilmater ~ Ilmater			CLASSES:Cleric=4																							PREDEITY:1,Ilmater	
Fortunate Fate.COPY=Fortunate Fate	KEY:Fortunate Fate ~ Tymora			CLASSES:Cleric=7																							PREDEITY:1,Tymora	
General of Undeath.COPY=General of Undeath	KEY:General of Undeath ~ Velsharoon			CLASSES:Cleric=8																							PREDEITY:1,Velsharoon	
Hand of Torm.COPY=Hand of Torm	KEY:Hand of Torm ~ Torm			CLASSES:Cleric=4|Paladin=4																							PREDEITY:1,Torm	
Loyal Vassal.COPY=Loyal Vassal	KEY:Loyal Vassal ~ Siamorphe			CLASSES:Paladin=3																							PREDEITY:1,Siamorphe	
Seek Eternal Rest.COPY=Seek Eternal Rest	KEY:Seek Eternal Rest ~ Jergal			CLASSES:Paladin=4																							PREDEITY:1,Jergal	
Silverbeard.COPY=Silverbeard	KEY:Silverbeard ~ Clangeddin Silverbeard			CLASSES:Paladin=1																							PREDEITY:1,Clangeddin Silverbeard	
Strength of Stone.COPY=Strength of Stone	KEY:Strength of Stone ~ Moradin			CLASSES:Paladin=2																							PREDEITY:1,Moradin	
Suppress Glyph.COPY=Suppress Glyph	KEY:Suppress Glyph ~ Deneir			CLASSES:Cleric=6																							PREDEITY:1,Deneir	
Symbol of Spell Loss.COPY=Symbol of Spell Loss	KEY:Symbol of Spell Loss ~ Bane			CLASSES:Cleric=8																							PREDEITY:1,Bane	
#																												
# Arcane Version																												
Combust.COPY=Combust	KEY:Combust ~ Red Wizard			CLASSES:Sorcerer,Wizard=2																							PRECLASS:1,Red Wizard=1	
Fiendform.COPY=Fiendform	KEY:Fiendform ~ Red Wizard			CLASSES:Sorcerer,Wizard=6																							PRECLASS:1,Red Wizard=1	
Flame Dagger.COPY=Flame Dagger	KEY:Flame Dagger ~ Red Wizard			CLASSES:Sorcerer,Wizard=2																							PRECLASS:1,Red Wizard=1	
Flame Dagger.COPY=Flame Dagger	KEY:Flame Dagger ~ Hatran			CLASSES:Sorcerer,Wizard=2																							PRECLASS:1,Hatran=1	
Nybor's Gentle Reminder.COPY=Nybor Gentle Reminder	KEY:Nybor's Gentle Reminder ~ Red Wizard			CLASSES:Sorcerer,Wizard=1																							PRECLASS:1,Red Wizard=1	
Nybor's Mild Admonishment.COPY=Nybor's Mild Admonishment	KEY:Nybor's Mild Admonishment ~ Red Wizard			CLASSES:Sorcerer,Wizard=3																							PRECLASS:1,Red Wizard=1	
Nybor's Stern Reproof.COPY=Nybor's Stern Reproof	KEY:Nybor's Stern Reproof ~ Red Wizard			CLASSES:Sorcerer,Wizard=7																							PRECLASS:1,Red Wizard=1	
Nybor's Wrathful Castigation.COPY=Nybor's Wrathful Castigation	KEY:Nybor's Wratful Castigation ~ Red Wizard			CLASSES:Sorcerer,Wizard=8																							PRECLASS:1,Red Wizard=1	
#																												
# Region version																												
Scintillating Sphere.COPY=Scintillating Sphere	KEY:Scintillating Sphere ~ Halruaa			CLASSES:Sorcerer,Wizard=3																							PREREGION:1,Halruaa	
