#SOURCELONG:G	SOURCESHORT:G	SOURCEWEB:http://www.gozzilioni.net																																								
#																																										
# Ability Name	Category of Ability	Type	visible	Special ABility			Restricted Ability	Define			BONUS				STACK	MULT	CHOOSE	SELECT														SOURCEPAGE:										
#																																										
# modification																																										
CATEGORY=Special Ability|Animal Companion.MOD	COMPANIONLIST:Animal Companion|Fox	COMPANIONLIST:Animal Companion|Dinosaur (Swindlespitter)|PRECLASS:1,Druid=1	COMPANIONLIST:Animal Companion|Dinosaur (Fleshraker)|FOLLOWERADJUSTMENT:-3|PRECLASS:1,Druid=4	COMPANIONLIST:Animal Companion|Dinosaur (Bloodstriker),Sea Tiger|FOLLOWERADJUSTMENT:-9|PRECLASS:1,Druid=10,Ranger=20	COMPANIONLIST:Animal Companion|Mastodon|FOLLOWERADJUSTMENT:-15|PRECLASS:1,Druid=16																																					
Smite Evil Outsider	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteEvilOutsidersToHit|SmiteEvilOutsidersDamage|SmiteEvilOutsiders				DEFINE:SmiteEvilOutsidersToHit|max(CHA,0)	DEFINE:SmiteEvilOutsidersDamage|0	DEFINE:SmiteEvilOutsiders|0																						SOURCEPAGE:PH										
Smite Fallen	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Extraordinary.AttackOption	VISIBLE:YES																													SOURCEPAGE:Mon										
Smite Guilty	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteGuiltyToHit|SmiteGuiltyDamage|SmiteGuilty				DEFINE:SmiteGuiltyToHit|max(0,CHA)	DEFINE:SmiteGuiltyDamage|0	DEFINE:SmiteGuilty|0																						SOURCEPAGE:CAd										
Smite Infidels	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteInfidelsToHit|SmiteInfidelsDamage|SmiteInfidels				DEFINE:SmiteInfidelsToHit|max(CHA,0)	DEFINE:SmiteInfidelsDamage|0	DEFINE:SmiteInfidels|0																						SOURCEPAGE:PGtF										
Smite Law	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteLawToHit|SmiteLawDamage|SmiteLaw				DEFINE:SmiteLawToHit|max(CHA,0)	DEFINE:SmiteLawDamage|0	DEFINE:SmiteLaw|0																						SOURCEPAGE:PH										
Smite Mortals	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteMortalsToHit|SmiteMortalsDamage|SmiteMortals				DEFINE:SmiteMortalsToHit|0	DEFINE:SmiteMortalsDamage|0	DEFINE:SmiteMortals|0																						SOURCEPAGE:BoVD										
Smite Nonaquatic	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteNonaquaticToHit|SmiteNonaquaticDamage|SmiteNonaquatic				DEFINE:SmiteNonaquaticToHit|0	DEFINE:SmiteNonaquaticDamage|0	DEFINE:SmiteNonaquatic|0																						SOURCEPAGE:PGtF										
Smite Undead	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteUndeadToHit|SmiteUndeadDamage|SmiteUndead				DEFINE:SmiteUndeadToHit|0	DEFINE:SmiteUndeadDamage|0	DEFINE:SmiteUndead|0																						SOURCEPAGE:CW										
Smite Virtue	CATEGORY:Special Ability	TYPE:SpecialAttack.Smite.Supernatural.AttackOption	VISIBLE:YES	DESC:+%1 with one normal melee attack for +%2 extra damage %3/day|SmiteVirtueToHit|SmiteVirtueDamage|SmiteVirtue				DEFINE:SmiteVirtueToHit|max(WIS,0)	DEFINE:SmiteVirtueDamage|0	DEFINE:SmiteVirtue|0																						SOURCEPAGE:RLCoD										
Smoky Hide	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:half concealment 20%%																												SOURCEPAGE:MM2										
Snake Darts (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES					DEFINE:SnakeDartsPerDay|0	DEFINE:SnakeDartsLVL|0										SPELLS:Innate|TIMES=SnakeDartsPerDay|CASTERLEVEL=SnakeDartsLVL|Snake Darts,14+CHA													SOURCEPAGE:SS										
Snatch	CATEGORY:Special Ability	TYPE:SpecialAttack.Extraordinary	VISIBLE:YES																													SOURCEPAGE:Drac										
Snatch Item	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Snatch Spell	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Snow Mastery	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:YES																													SOURCEPAGE:Fro										
Snow Pool	CATEGORY:Special Ability	TYPE:SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Fro										
Snowsight	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality.Sense	VISIBLE:YES																													SOURCEPAGE:Fro										
Social Mimesis	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day Alter Self|IllusoryMimesisPerDay				DEFINE:SocialMimesisPerDay|0																								SOURCEPAGE:Nep										
Soiled Wound	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:LM										
Sold Soul	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Song	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES					DEFINE:BardicMusicLvl|0	DEFINE:InspireDurationBase|0																							SOURCEPAGE:EXD										
Song of Awakening	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:LM										
Song of Bolstering	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES	DESC:+%1 turn resistance|(DirgesongLVL+BardicMusicLvl)																												SOURCEPAGE:LM										
Song of Celerity	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1/day|SongOfCelerityPerDay	DESC:2nd|PREVAREQ:1,SongOfCelerityPower	DESC:4th|PREVAREQ:2,SongOfCelerityPower		DEFINE:SongOfCelerityPerDay|0	DEFINE:SongOfCelerityPower|0																							SOURCEPAGE:CW										
Song of Death	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Fort DC %2)|SongOfDeathPerDay|SongOfDeathDC				DEFINE:SongOfDeathPerDay|0	DEFINE:SongOfDeathDC|19+CHA																							SOURCEPAGE:SS										
Song of Despair	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|SongOfDespairPerDay|SongOfDespairDC				DEFINE:SongOfDespairPerDay|0	DEFINE:SongOfDespairDC|12+CHA																							SOURCEPAGE:SS										
Song of Fury	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CW										
Song of Grief	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:LM										
Song of Hope	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:EXD										
Song of Horror	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:LM										
Song of Idiocy	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Will DC %2)|SongOfIdiocyPerDay|SongOfDespairDC				DEFINE:SongOfIdiocyPerDay|0	DEFINE:SongOfIdiocyDC|12+CHA																							SOURCEPAGE:SS										
Song of Sorrow	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:LM										
Song of Stone	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Fort DC %2)|SongOfStonePerDay|SongOfStoneDC				DEFINE:SongOfStonePerDay|0	DEFINE:SongOfStoneDC|12+CHA																							SOURCEPAGE:SS										
Song of Weakness	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Fort DC %2)|SongOfWeaknessPerDay|SongOfWeaknessDC				DEFINE:SongOfWeaknessPerDay|0	DEFINE:SongOfWeaknessDC|12+CHA																							SOURCEPAGE:SS										
Sonic Abilities	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Sonic Chime	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day (Ref DC %2)|SonicChimePerDay|SonicChimeDC				DEFINE:SonicChimePerDay|0	DEFINE:SonicChimeDC|10+(HD/2)+CON																							SOURCEPAGE:MM3										
Sonic Healing	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Sonic Pulse	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES	DESC:%1' Cone of Sonic sound %2d%3 Sonic + deafen DC %4|SonicPulseCone|SonicPulseDice|SonicPulseDamageDie|SonicPulseDC				DEFINE:SonicPulseCone|0	DEFINE:SonicPulseDice|0	DEFINE:SonicPulseDie|0	DEFINE:SonicPulseDC|10+(HD/2)+CON																					SOURCEPAGE:MM3										
Sonic Screech	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:%1' Cone of Sonic Burst %2d%3 (Ref DC %4)|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC		SERVESAS:ABILITY=Special Ability|Breath Weapon		DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|0	DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:FFo										
Sonic Shriek	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack.AbilityFocus	VISIBLE:YES	DESC:%1' Cone of Sonic Energy %2d%3 + Stun Fort DC %4|BreathWeaponCone|BreathWeaponDice|BreathWeaponDamageDie|BreathWeaponDC				DEFINE:BreathWeaponCone|0	DEFINE:BreathWeaponDice|0	DEFINE:BreathWeaponDamageDie|8	DEFINE:BreathWeaponDC|10+(HD/2)+CON	BONUS:VAR|BreathWeaponDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:MM2										
Soothing Ministration	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:EXD										
Soothing Presence of Nature	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:FFo										
Soothing Touch	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:restore 1d6 points of intelligence damage caused by any Sirine																												SOURCEPAGE:MM2										
Sorcerous Knack	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/Day|SorcerousKnackPerDay				DEFINE:SorcerousKnackPerDay|0																								SOURCEPAGE:Drac										
Soul Agility	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Binding	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Soul Blast	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES	DESC:%1/day %2d6 points of damage (Fort DC %3)|SoulBlastPerDay|SoulBlastDamage|SoulBlastDC				DEFINE:SoulBlastPerDay|0	DEFINE:SoulBlastDamage|0	DEFINE:SoulBlastDC|10+CHA																						SOURCEPAGE:BoVD										
Soul Endurance	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Enhancement	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Healing	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM3										
Soul Power	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Radiance	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Slave	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Soul Strength	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:BoVD										
Sound	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:SS										
Spark Stream	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:no range increment.																												SOURCEPAGE:MM3										
Sparks	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:CW										
Spawn	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	VISIBLE:YES																													SOURCEPAGE:Mon										
Speak with Animals (Sp at will)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES						DEFINE:SpeakWithAnimalsLVL|0										SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=SpeakWithAnimalsLVL|Speak with Animals,11+CHA													SOURCEPAGE:EXD										
Speak with Animals (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:SpeakWithAnimalsTimes|0	DEFINE:SpeakWithAnimalsLVL|0										SPELLS:Innate|TIMES=SpeakWithAnimalsTimes|CASTERLEVEL=SpeakWithAnimalsLVL|Speak with Animals,11+CHA													SOURCEPAGE:CD										
Speak With Badgers	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Communicate	VISIBLE:YES	OUTPUTNAME:Speak with Animals (badgers only).																												SOURCEPAGE:PH										
Speak With Bats	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Communicate	VISIBLE:YES																													SOURCEPAGE:MM2										
Speak with Canine	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary.Communicate	VISIBLE:YES																													SOURCEPAGE:EXD										
Speak with Dead (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:SpeakWithDeadTimes|0	DEFINE:SpeakWithDeadLVL|0										SPELLS:Innate|TIMES=SpeakWithDeadTimes|CASTERLEVEL=SpeakWithDeadLVL|Speak with Dead,13+CHA													SOURCEPAGE:Nep										
Speak with Dead Animals	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpeakDeadAnimalTimes					DEFINE:SpeakDeadAnimalTimes|0																							SOURCEPAGE:CD										
Speak with Holy Liberator	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CD										
Speak with Plants (Sp at will)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES						DEFINE:SpeakWithPlantsLVL|0										SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=SpeakWithPlantsLVL|Speak with Plants,12+CHA													SOURCEPAGE:EXD										
Special Attack Boost (Empower)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:empower special attack 1.5 times. 4 lifewell points.																												SOURCEPAGE:BoVD										
Special Attack Boost (Maximize)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:maximize special attack. 6 lifewell points.																												SOURCEPAGE:BoVD										
Specialized Tool	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:%1 DC Craft check|SpecializedToolDC				DEFINE:SpecializedToolDC|15																								SOURCEPAGE:CAd										
Spectral Form	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpectralFormPerDay				DEFINE:SpectralFormPerDay|0																								SOURCEPAGE:Fro										
Speed Climb	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CAd										
Speed of the Fish	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:SoB										
Spell Absorption (Su)	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES		OUTPUTNAME:Spell Absorption																											SOURCEPAGE:MM3										
Spell Absorption (Ex)	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES		OUTPUTNAME:Spell Absorption																											SOURCEPAGE:FFo										
Spell Betrayal	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:+%1d%2|SpellBetrayal|SpellBetrayalDie				DEFINE:SpellBetrayal|0	DEFINE:SpellBetrayalDie|6																							SOURCEPAGE:BoVD										
Spell Boost (Empower)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Empower spell feat. 4 lifewell points.																												SOURCEPAGE:BoVD										
Spell Boost (Heighten)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Heighten spell feat. 2 lifewell points/spell level.																												SOURCEPAGE:BoVD										
Spell Boost (Maximize)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Maximize spell feat. 4 lifewell points.																												SOURCEPAGE:BoVD										
Spell Boost (Quicken)	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:Quicken spell feat. 8 lifewell points.																												SOURCEPAGE:BoVD										
Spell Disruption	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:all spellcaster in 40'-ft radius of the lemental grue, must succedes DC 15 caster level check or have the spell fail.																												SOURCEPAGE:CA										
Spell Fury	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/rage|SpellFuryTimes				DEFINE:SpellFuryTimes|0																								SOURCEPAGE:CW										
Spell Imprinting	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Spell Like Metamagic	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES		OUTPUTNAME:Spell-Like Metamagic																											SOURCEPAGE:MM2										
Spell Mimic	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpellMimicPerDay				DEFINE:SpellMimicPerDay|0																								SOURCEPAGE:PH										
Spell Power	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1|SpellPower				DEFINE:SpellPower|0																								SOURCEPAGE:PGtF										
Spell Rage	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialAttack.Rage	VISIBLE:YES	DESC:%1/day (%2 rounds)|SpellRageTimes|SpellRageDuration|PREVARLT:TirelessSpellRage,1	DESC:%1/day without fatigue (%2 rounds)|SpellRageTimes|SpellRageDuration|PREVARGTEQ:TirelessSpellRage,1	DESC:Bonuses when enraged (AC -%1)|SpellRageACPenalty|PREVARNEQ:1,SpellRaged		DEFINE:SpellRageTimes|0	DEFINE:SpellRageDuration|0	DEFINE:SpellRageACPenalty|0	DEFINE:SpellRaged|0	DEFINE:TirelessSpellRage|0	BONUS:COMBAT|AC|-1*(SpellRageACPenalty)|PREAPPLY:PC	BONUS:VAR|SpellRageDuration|CON+3	BONUS:VAR|SpellRageACPenalty|2	BONUS:VAR|SpellRaged|1|PREAPPLY:PC																SOURCEPAGE:CW										
Spell Reflection	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MM2										
Spell Resistance ~ Mind Affecting	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:SR %1 against divine mind-affecting spells|MindAffectingSR				DEFINE:MindAffectingSR|15																								SOURCEPAGE:PH										
Spell Siphon	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES	DESC:Fort DC %1|Siphon				DEFINE:SpellSiphonDC|10+(HD/2)+CHA																								SOURCEPAGE:MM3										
Spell Strengthened Hide	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality.ModifyAC	VISIBLE:YES		OUTPUTNAME:Spell-Strengthened Hide						BONUS:COMBAT|AC|4|TYPE=Deflection.REPLACE																					SOURCEPAGE:MM3										
Spell Turning	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:MoF										
Spell Versatility	CATEGORY:Special Ability	TYPE:ClassAbility.SpecialQuality	VISIBLE:YES	DESC:Spell Versatility %1|SpellVersatility					DEFINE:SpellVersatility|0																							SOURCEPAGE:CD										
Spell Vulnerability	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MM2										
Spell Weaving	CATEGORY:Special Ability	TYPE:Extraordinary.SpecialQuality	VISIBLE:YES	DESC:cast a maximum of 6 spell at every round. (max level equal number of arms involved)																												SOURCEPAGE:MM2										
Spellcast	CATEGORY:Special Ability	TYPE:SpellLike.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Nep										
Spelldance	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpelldancePerDay				DEFINE:SpelldancePerDay|CON																								SOURCEPAGE:MoF										
Spellfire	CATEGORY:Special Ability	TYPE:SpecialAttack.Supernatural	VISIBLE:YES	DESC:%1' ray of half fire and half raw magical power %2d%3 energy/level spent Reflex DC %4 half|SpellfireRay|SpellfireDice|SpellfireDamageDie|SpellfireDC	DESC:Reserve %1 max level|Spellfire			DEFINE:SpellfireRay|400	DEFINE:SpellfireDice|1	DEFINE:SpellfireDamageDie|6	DEFINE:SpellfireDC|20	DEFINE:Spellfire|max(0,CON)							NATURALATTACKS:Spellfire,Weapon.Natural.Ranged.Touch.Spell,*1,0													SOURCEPAGE:FRCS										
Spellfire Burst	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialAttack	VISIBLE:YES																													SOURCEPAGE:PGtF										
Spellfire Reserve	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:deep reserve %1 max levels|SpellfireReserve				DEFINE:SpellfireReserve|max(0,CON)																								SOURCEPAGE:PGtF										
Spellglyph	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:CA										
Spellgrace	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:+%1|SpellgraceBonus				DEFINE:SpellgraceBonus|0																								SOURCEPAGE:CAd										
Spellguard	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:PGtF										
Spellpool	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:%1 spell level|SpellpoolLimit	PREVARLT:SpellpoolEpic,1			DEFINE:SpellpoolLimit|0																								SOURCEPAGE:CA										
Spellpool ~ Epic	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	OUTPUTNAME:Spellpool	DESC:Epic spell level	PREVARGTEQ:SpellpoolEpic,1		DEFINE:SpellpoolEpic|0																								SOURCEPAGE:CA										
Spellray	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:Mon										
Spellstrike	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality	VISIBLE:YES	DESC:+%1d%2|Spellstrike|SpellstrikeDie				DEFINE:Spellstrike|0	DEFINE:SpellstrikeDie|6																							SOURCEPAGE:BoVD										
Spellsurge	CATEGORY:Special Ability	TYPE:Supernatural.SpecialQuality	VISIBLE:YES																													SOURCEPAGE:MoF										
Spelunking	CATEGORY:Special Ability	TYPE:ClassAbility.Extraordinary.SpecialQuality	VISIBLE:YES	DESC:+%1 competence bonus on Climb, Escape Artist, Jump, Survival, Swim when underground.|SpelunkingBonus				DEFINE:SpelunkingBonus|0																								SOURCEPAGE:LoM										
Spew Vermin (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialAttack	VISIBLE:YES	DESC:%1' Spew Vermin (Sp) %2d%3 DC %4|SpewVerminCone|SpewVerminDice|SpewVerminDamageDie|SpewVerminDC		SERVESAS:ABILITY=Special Ability|Breath Weapon		DEFINE:SpewVerminCone|0	DEFINE:SpewVerminDice|0	DEFINE:SpewVerminDamageDie|0	DEFINE:SpewVerminDC|10+CON	BONUS:VAR|SpewVerminDC|2|PREFEAT:1,Ability Focus(Breath Weapon)																				SOURCEPAGE:BoVD										
Sphere of Cold	CATEGORY:Special Ability	TYPE:Supernatural.SpecialAttack	VISIBLE:YES					DEFINE:SphereOfColdDC|10+(HD/2)+CON																								SOURCEPAGE:Fro										
Spherical Detect Thoughts	CATEGORY:Special Ability	TYPE:ClassAbility.Supernatural.SpecialQuality.Sense	VISIBLE:YES																													SOURCEPAGE:CW										
Spider Hand (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES	DESC:%1/day|SpiderHandPerDay				DEFINE:SpiderHandPerDay|0	DEFINE:SpiderHandLVL|0																							SOURCEPAGE:BoVD										
Spider Legs (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:SpiderLegsPerDay|0	DEFINE:SpiderLegsLVL|0										SPELLS:Innate|TIMES=SpiderLegsPerDay|CASTERLEVEL=SpiderLegsLVL|Spider Legs,11+CHA													SOURCEPAGE:BoVD										
Spike Stones (Sp)	CATEGORY:Special Ability	TYPE:ClassAbility.SpellLike.SpecialQuality	VISIBLE:YES					DEFINE:SpikeStonesPerDay|0	DEFINE:SpikeStonesLVL|0										SPELLS:Innate|TIMES=SpikeStonesPerDay|CASTERLEVEL=SpikeStonesLVL|Spike Stones,14+CHA													SOURCEPAGE:Mon										
